speed,length,tem,y
6.5,114.505,1444.625,104.111
5.25,114.607,1444.5,104.078
7,114.724,1444.875,104.103
3.75,114.814,1444.75,104.019
4.75,114.91,1443.5,104.021
6.5,114.996,1445.25,104.023
7,115.108,1446,104.049
7.75,115.21,1445,104.071
6.75,115.324,1444.875,104.061
7.75,115.417,1444.5,104.066
5.375,115.529,1444.625,104.049
5.5,115.612,1444.75,104.038
5.875,115.719,1444.875,104.051
5.5,115.81,1444.125,104.021
5.25,115.892,1444.25,104
6,115.998,1444.625,104.044
5.625,116.101,1444.75,104.025
6.75,116.196,1444.75,104.038
7,116.313,1444.875,104.066
6.5,116.415,1444.625,104.041
6.625,116.51,1446.375,104.052
7.75,116.62,1444.875,104.078
4.875,116.727,1444.5,104.051
7.25,116.817,1444.625,104.065
7,116.92,1444.5,104.069
5.875,117.036,1444.375,104.058
5.125,117.127,1443.125,104.016
6.75,117.227,1443.125,104.048
7.625,117.346,1444.375,104.084
6,117.45,1443.75,104.047
7.25,117.55,1443.125,104.068
8.125,117.664,1443,104.081
7.25,117.767,1443.125,104.074
8,117.876,1443.625,104.098
9.25,118.02,1444,104.165
9.125,118.169,1444.25,104.198
8.5,118.318,1443.75,104.191
7.75,118.46,1443.375,104.181
10.125,118.616,1444.75,104.264
8.75,118.776,1444.125,104.267
9.375,118.93,1445.375,104.325
7.75,119.072,1444.25,104.279
9.375,119.214,1443,104.283
10.25,119.372,1444.5,104.34
10.125,119.533,1445.375,104.389
10,119.691,1444.5,104.402
9.5,119.842,1445.25,104.379
9,119.993,1444.625,104.356
8,120.144,1446.125,104.366
7.25,120.268,1444,104.297
8.75,120.407,1444.625,104.307
8.625,120.556,1444.5,104.304
8.25,120.691,1443.875,104.271
8.375,120.81,1443,104.235
7,120.926,1443.125,104.211
9.625,121.066,1444.75,104.275
8.5,121.21,1444.5,104.274
8.625,121.34,1444.375,104.28
8.375,121.492,1446.125,104.293
9,121.64,1444.625,104.291
7.75,121.775,1444.75,104.259
8.75,121.922,1444.75,104.27
7.375,122.048,1444.625,104.222
9.375,122.169,1445.5,104.239
9.5,122.364,1445,104.255
7.625,122.452,1444.875,104.236
8.75,122.576,1444.5,104.227
7.75,122.697,1443.875,104.207
8.125,122.829,1443.75,104.222
7,122.957,1443.375,104.197
8.5,123.076,1444.625,104.211
7.875,123.216,1444.625,104.206
8.375,123.355,1445.75,104.237
8.25,123.495,1444.875,104.229
10,123.637,1446,104.257
9.625,123.788,1444.875,104.265
8.125,123.932,1444.875,104.238
10.125,124.079,1444.75,104.278
7.625,124.221,1444.5,104.232
9.25,124.356,1444.75,104.237
7.625,124.493,1444.875,104.214
8.75,124.644,1444.875,104.242
7.5,124.767,1445.25,104.19
8.25,124.902,1444.75,104.202
8.375,125.019,1444.75,104.18
7.75,125.156,1444.75,104.171
8.125,125.284,1444.75,104.168
7.75,125.405,1444.125,104.148
6.5,125.51,1443.75,104.088
7.375,125.619,1443.375,104.099
9.875,125.733,1445.25,104.15
7.75,125.88,1445,104.165
8.75,126.026,1444.875,104.199
7.375,126.161,1444.625,104.183
7.375,126.275,1446.25,104.151
8.5,126.408,1444.875,104.171
6.375,126.55,1445.25,104.148
8.625,126.678,1443.75,104.16
7.875,126.796,1443.75,104.139
8.125,126.936,1444.875,104.156
6.75,127.055,1444.5,104.11
6,127.164,1444.125,104.076
6.625,127.28,1444.125,104.091
6.5,127.385,1444.25,104.078
8.125,127.499,1444.375,104.104
8,127.629,1444.375,104.105
8.625,127.752,1444.75,104.132
9.5,127.904,1445.5,104.18
6.75,128.032,1444.5,104.135
6.125,128.139,1444.375,104.084
9.75,128.253,1446.25,104.135
8.125,128.404,1445.125,104.15
8.25,128.525,1445.75,104.138
8.25,128.653,1444.875,104.141
7.125,128.769,1446.625,104.116
8.75,128.916,1446,104.168
6.25,129.032,1444.875,104.108
4.625,129.125,1444.625,104.036
3.5,129.207,1444.5,103.977
4.75,129.293,1444.75,103.976
3.75,129.379,1444.5,103.936
5.625,129.458,1444.875,103.953
5.625,129.556,1444.875,103.961
7.125,129.691,1445.75,104.009
5.375,129.746,1444.625,103.979
6.375,129.832,1444.5,103.99
7.5,129.925,1444.875,104.019
6,130.037,1444.75,104.019
6.125,130.142,1445.25,104.031
6.25,130.244,1444.625,104.029
8.25,130.374,1445.625,104.091
7.5,130.495,1444.625,104.078
7.25,130.67,1444.75,104.093
6.375,130.735,1444.5,104.06
9.75,130.865,1446.75,104.12
5.5,130.984,1444.75,104.057
7.5,131.086,1444.875,104.074
9.125,131.214,1445.375,104.111
6.75,131.342,1444.875,104.1
6.25,131.456,1444.75,104.085
7.375,131.589,1445.625,104.118
6.625,131.712,1445,104.098
6.5,131.833,1444.625,104.082
6.625,131.947,1444.625,104.066
6.125,132.059,1444.875,104.029
7.5,132.157,1444.25,104.032
8.75,132.268,1444.5,104.059
9.375,132.399,1444.875,104.106
8.375,132.534,1444.875,104.112
6.75,132.664,1444.5,104.099
6.75,132.778,1444.75,104.093
7.25,132.908,1444.75,104.1
7.375,133.027,1444.75,104.093
7.625,133.176,1445.5,104.128
8,133.311,1444.5,104.128
8.375,133.446,1444.125,104.13
9.625,133.602,1446.125,104.206
7.75,133.734,1444.75,104.145
9.125,133.869,1444.5,104.145
10.25,134.009,1445.625,104.175
8.875,134.165,1445.125,104.185
9.875,134.311,1444.625,104.208
6.875,134.448,1444.875,104.14
7.25,134.586,1445.625,104.139
8.625,134.732,1444.75,104.171
7,134.869,1445.125,104.13
7.5,134.988,1444.75,104.093
9.375,135.123,1444.875,104.114
7.75,135.256,1444.875,104.083
8.375,135.36,1444.875,104.057
8.125,135.491,1444.875,104.072
8.25,135.6,1444.75,104.068
6.625,135.73,1444.625,104.037
7.375,135.865,1444.875,104.033
6.875,135.937,1444.875,104.025
5.5,136.086,1444.5,104.006
6.625,136.154,1445.375,104.004
5.25,136.24,1444.5,103.947
5,136.314,1443.5,103.909
5.375,136.386,1443,103.9
5.625,136.482,1444,103.922
7.25,136.582,1444.75,103.961
6.5,136.694,1444.875,103.979
7,136.8,1445,103.996
7.25,136.915,1444.875,104.023
8,137.045,1445,104.066
6.5,137.166,1444.75,104.034
5.625,137.275,1444.75,104.025
6.75,137.401,1444.875,104.041
5.25,137.51,1444.5,104.009
6.875,137.617,1444.5,104.023
7,137.724,1444.375,103.999
9.5,137.847,1444.875,104.055
9.625,137.985,1445.25,104.099
10,138.134,1444.875,104.143
8.5,138.285,1445.125,104.154
8,138.427,1445.5,104.143
7.375,138.564,1444.5,104.13
9.25,138.757,1444.75,104.15
7.875,138.846,1445,104.122
8.75,138.997,1444.75,104.151
8.125,139.143,1444.5,104.126
8.25,139.267,1444.75,104.094
10.25,139.409,1445.125,104.125
9.25,139.553,1444.75,104.135
8.125,139.692,1444.75,104.118
6.125,139.804,1444.5,104.052
6.25,139.904,1444.125,104.027
8.875,140.032,1444.75,104.08
7.75,140.174,1444.875,104.081
8.125,140.314,1445.375,104.094
7.375,140.449,1444.5,104.084
8.25,140.584,1444.75,104.085
9,140.723,1444.625,104.099
9.125,140.851,1444.75,104.085
7.75,140.97,1444.625,104.055
9,141.123,1445.625,104.106
7.375,141.249,1444.5,104.081
6.625,141.375,1444.5,104.067
6.75,141.5,1444.625,104.057
7.125,141.614,1443,104.04
6.5,141.726,1443,104.007
8.75,141.861,1445.75,104.062
8.875,142,1444.875,104.073
6.75,142.135,1444.75,104.043
8,142.252,1445.125,104.051
7.375,142.377,1444.375,104.037
6.875,142.494,1444.5,104.013
7.625,142.608,1443.75,104.018
8.25,142.75,1443.75,104.009
8.875,142.833,1444.875,104.039
5,142.964,1444.5,104.004
6.375,143.071,1444.5,104.001
6.375,143.187,1444.125,103.988
7.25,143.289,1443.125,103.996
9.25,143.434,1445.375,104.067
8.25,143.573,1446.5,104.062
7.25,143.696,1444.875,104.036
9.875,143.813,1444.875,104.064
9.375,143.955,1444.875,104.071
7.75,144.087,1444.5,104.069
7.875,144.222,1444.125,104.064
9.125,144.348,1443.375,104.08
6.75,144.478,1443.875,104.044
8.75,144.613,1445.25,104.087
8.25,144.764,1444.5,104.11
7.5,144.899,1444.75,104.081
7.375,145.03,1444.125,104.064
8.25,145.165,1443.25,104.078
8,145.288,1444.5,104.051
8.375,145.418,1445.625,104.048
9.75,145.56,1446.25,104.095
9.375,145.711,1445.25,104.129
7.875,145.842,1445.625,104.086
8,145.958,1444.75,104.063
7.375,146.098,1444.75,104.068
5.875,146.219,1445.25,104.024
6.625,146.323,1444.5,103.991
6.5,146.433,1444.5,103.972
5.75,146.537,1444.75,103.946
7.25,146.633,1445,103.946
7.75,146.74,1444.5,103.962
5.5,146.842,1444.375,103.925
5.75,146.926,1445.75,103.905
6.5,147.01,1444.375,103.91
5.625,147.1,1444.75,103.907
6,147.198,1444.5,103.916
5.75,147.289,1444.625,103.906
5,147.379,1444.375,103.899
4.25,147.466,1443.875,103.874
5.625,147.554,1444.625,103.894
5.875,147.652,1444.625,103.903
6.25,147.738,1445.5,103.902
5.875,147.831,1444.125,103.903
6.5,147.933,1444.75,103.929
6.75,148.024,1444.5,103.942
5.875,148.138,1444.5,103.956
4.5,148.219,1444.125,103.907
3.5,148.299,1443.625,103.871
5.875,148.394,1444,103.908
7.125,148.487,1444.625,103.939
7.375,148.606,1446.125,103.973
7.5,148.734,1445.5,104.004
6.5,148.829,1444.375,103.97
7.5,148.938,1445.75,103.993
6.875,149.071,1444.875,104.002
6.5,149.162,1444.75,103.976
5.75,149.271,1444.5,103.969
6.875,149.371,1444.625,103.975
4.75,149.473,1444.625,103.943
6,149.564,1445.625,103.95
5.5,149.66,1444.125,103.922
7.75,149.753,1444.625,103.956
5.75,149.862,1444.875,103.944
5.375,149.96,1444.25,103.919
7.75,150.046,1444.875,103.951
7.375,150.16,1444.75,103.976
8,150.283,1444.75,104.017
5.75,150.402,1444.875,103.996
8.25,150.525,1445,104.059
7.125,150.658,1444.75,104.06
7.5,150.795,1444.75,104.066
8.125,150.918,1444.625,104.068
5.5,151.035,1444.5,104.006
7,151.149,1444.125,104.014
7.5,151.279,1444,104.038
9.5,151.416,1444.75,104.084
6.75,151.546,1444.5,104.041
9,151.667,1443.75,104.067
9.125,151.812,1444.75,104.098
7.625,151.949,1445.125,104.078
7.625,152.088,1444.5,104.088
7.75,152.221,1445.875,104.08
5.5,152.37,1444.125,104.006
6.25,152.44,1444.5,103.994
9.375,152.575,1444.75,104.059
8,152.77,1445.125,104.089
8.125,152.859,1444.625,104.083
7.625,152.982,1444.625,104.053
8.25,153.108,1445,104.056
9.25,153.249,1445.5,104.102
6.375,153.382,1444.75,104.056
8.25,153.501,1444.875,104.062
6.75,153.633,1444.875,104.041
7.875,153.75,1444.5,104.033
6.75,153.852,1443.375,103.987
9,153.98,1443.25,104.037
8.125,154.101,1444.375,104.021
7.125,154.229,1444.625,104.018
6.5,154.352,1444.125,104.009
7.625,154.473,1445.75,104.032
6.5,154.587,1444.75,104.004
6.25,154.694,1444.5,103.987
5.875,154.79,1446.375,103.961
5.75,154.88,1444.5,103.933
5.25,154.967,1444.875,103.904
6,155.062,1444.125,103.915
6.375,155.157,1444.125,103.927
5.75,155.253,1443.5,103.914
5,155.336,1444.625,103.88
7,155.432,1444.75,103.93
6.5,155.546,1444.875,103.946
6.75,155.655,1444.625,103.967
6.5,155.755,1444.5,103.955
6,155.851,1444.5,103.938
7.125,155.944,1444.625,103.957
5.875,156.053,1444.75,103.943
6.125,156.155,1444.75,103.947
6.5,156.26,1444.5,103.965
5.5,156.365,1444.5,103.942
5.75,156.451,1444.125,103.93
7.5,156.537,1445.625,103.942
6.625,156.653,1445.125,103.962
7,156.746,1444.625,103.96
7.125,156.858,1445.5,103.973
5.75,156.958,1444.875,103.945
6.125,157.046,1444.625,103.944
6.375,157.144,1444.375,103.942
7.875,157.244,1445.125,103.966
6.625,157.363,1444.875,103.965
7.875,157.475,1445.125,103.997
6.625,157.568,1444.75,103.966
7.25,157.682,1446.125,103.987
6.125,157.796,1444.75,103.992
4.75,157.884,1444.125,103.937
8.25,157.986,1444.625,103.992
8.875,158.121,1445.75,104.043
6.625,158.254,1444.375,104.022
6.75,158.347,1444.125,103.993
6.625,158.454,1444.125,103.984
7.375,158.573,1444.5,104.005
7.375,158.684,1444.75,104.01
8.125,158.815,1444.75,104.049
8,158.954,1444.5,104.069
7.125,159.064,1443.5,104.026
6.375,159.171,1443,104.001
8,159.28,1443.125,104.018
8.375,159.41,1444.875,104.044
8.5,159.564,1444.75,104.102
7,159.699,1445.25,104.073
6.875,159.813,1444,104.049
7.875,159.938,1443.875,104.051
7.5,160.073,1445.75,104.045
7.875,160.185,1444.125,104.04
8,160.297,1444,104.03
6,160.434,1444.5,103.997
7.5,160.541,1444.125,104.008
8,160.667,1444.625,104.03
7.875,160.79,1444.5,104.037
9,160.92,1444.875,104.068
7.375,161.044,1444.5,104.038
8.875,161.174,1444.875,104.075
8,161.311,1444.625,104.077
7.625,161.432,1444.875,104.047
8.875,161.558,1447.75,104.069
8.375,161.697,1444.875,104.081
8.125,161.837,1444.125,104.076
5.25,161.951,1443.75,104.003
7.875,162.051,1445.25,104.018
7.5,162.188,1445,104.036
7.5,162.316,1444.375,104.04
6.5,162.439,1444,104.025
6.125,162.544,1443,103.993
7.125,162.642,1443,103.991
6.25,162.756,1443.125,103.979
9,162.874,1446,104.034
8.5,163.03,1444.875,104.094
9.875,163.186,1444.75,104.161
9.25,163.344,1444.125,104.15
9.625,163.503,1444.125,104.18
9.75,163.661,1444.75,104.185
10.25,163.821,1445.875,104.23
10.125,163.982,1444.875,104.266
9.375,164.136,1444.75,104.253
10.375,164.284,1444.875,104.259
8,164.44,1445.25,104.26
8.125,164.573,1444.75,104.222
7.875,164.715,1444.75,104.206
9.875,164.847,1444.5,104.224
8.5,165.001,1444.5,104.207
7.75,165.148,1444.75,104.192
8.375,165.28,1443.875,104.183
9.375,165.434,1445.5,104.208
8.25,165.58,1444.625,104.193
6.5,165.701,1443.125,104.136
8.875,165.818,1443.125,104.143
8,165.953,1445.125,104.143
9.375,166.088,1444.75,104.171
8,166.218,1445.875,104.151
8.75,166.362,1445.25,104.178
7.375,166.499,1444.625,104.151
7.75,166.625,1444.25,104.126
7.375,166.753,1443.75,104.109
6.625,166.855,1443.375,104.062
9.625,166.983,1443.875,104.122
9.125,167.118,1445.375,104.132
9.125,167.251,1445.25,104.144
9.75,167.4,1444.875,104.177
7.5,167.532,1444.875,104.138
9.25,167.67,1445.25,104.163
7.75,167.8,1444.75,104.132
6.375,167.921,1444.875,104.092
7.25,168.049,1444.75,104.101
8.625,168.177,1444.875,104.121
7.625,168.319,1446,104.114
8.375,168.43,1444.75,104.103
6.5,168.549,1444.75,104.058
6.5,168.663,1444.75,104.054
7.125,168.756,1445.625,104.036
7.625,168.879,1444.875,104.068
6.75,168.996,1444.25,104.048
6.875,169.096,1444.375,104.024
6.375,169.203,1444.75,104.015
6.875,169.312,1444.75,104.023
4.375,169.403,1443.75,103.957
6.25,169.496,1444.5,103.983
7.25,169.598,1444.625,104.004
6.125,169.712,1444.625,104.003
5.75,169.808,1444.5,103.983
6.25,169.908,1444.5,103.992
8.25,170.022,1444.625,104.04
6.25,170.122,1444.625,104.014
5.75,170.229,1444.625,104
5.75,170.329,1444.875,103.994
5.125,170.429,1444.875,103.981
7,170.531,1444.625,104
6.125,170.629,1444.625,103.981
6,170.72,1444.5,103.968
6.375,170.817,1444.75,103.977
6.5,170.913,1444.875,103.975
5.875,171.006,1445.625,103.974
7.625,171.12,1444.875,104.018
5.75,171.22,1444.5,103.986
4,171.292,1443.875,103.926
6.5,171.357,1443.375,103.928
9.125,171.46,1446.375,104.013
7,171.585,1444.625,104.025
7,171.716,1445,104.05
5.25,171.809,1444.5,103.998
5.125,171.885,1443.125,103.957
5.5,171.976,1443.125,103.952
9.375,172.097,1445.75,104.058
7.875,172.225,1445.75,104.059
6,172.339,1445,104.032
6.5,172.441,1444.25,104.032
4.75,172.532,1444.125,103.972
7,172.614,1444.75,103.984
7.25,172.735,1444.5,104.021
5.5,172.835,1444.5,103.989
6,172.93,1444.25,103.977
6.125,173.028,1444.125,103.989
6.125,173.121,1443.875,103.98
6.125,173.223,1444.5,103.984
7.5,173.328,1444.5,104.017
5,173.477,1444.5,103.995
6.125,173.572,1444.5,104.005
6.125,173.633,1444.375,103.994
7.25,173.756,1444.875,104.033
7.125,173.889,1444.75,104.058
6.25,174.005,1444.5,104.045
7.5,174.11,1444.125,104.051
7.25,174.238,1444.5,104.061
7,174.347,1444.25,104.048
7.625,174.472,1444.625,104.066
9,174.608,1444.75,104.111
9.875,174.749,1445.125,104.141
8,174.894,1444.625,104.128
7.125,175.017,1444.25,104.099
7.375,175.147,1444.75,104.097
8.75,175.28,1444.125,104.117
8.25,175.429,1444.125,104.133
7.625,175.559,1444.5,104.109
6.5,175.671,1444.125,104.057
9.75,175.815,1444.75,104.134
9.5,175.966,1445.5,104.155
9.75,176.131,1444.625,104.212
10.25,176.292,1446,104.281
10.125,176.45,1444.75,104.274
9.5,176.611,1445.25,104.267
7.5,176.741,1443.75,104.192
8.375,176.864,1443.375,104.169
8.25,177.009,1446.5,104.17
9.25,177.16,1445.875,104.203
9,177.304,1444.5,104.183
9.375,177.455,1444.75,104.201
8.125,177.606,1444.875,104.181
8.125,177.737,1444.75,104.15
8.625,177.869,1444.75,104.147
9.5,178.037,1444.875,104.126
9.375,178.118,1444.75,104.141
5.875,178.239,1444.625,104.077
8.375,178.365,1445.125,104.114
6.25,178.488,1444.875,104.077
6.25,178.595,1444.5,104.059
7.875,178.737,1444.75,104.109
4.25,178.837,1444.5,104.008
4.25,178.919,1444.125,103.962
4.5,178.988,1443.75,103.9
8.375,179.084,1444.875,103.982
6.75,179.191,1444.5,103.978
6.375,179.279,1445.25,103.968
6.625,179.375,1444.75,103.984
8.875,179.503,1445.625,104.063
6.375,179.626,1444.625,104.047
7.25,179.731,1444.125,104.041
5.375,179.833,1443,104.006
5,179.917,1443.125,103.966
6.875,180.003,1444.625,103.981
8.75,180.145,1445.75,104.072
7.75,180.294,1444.75,104.097
7.75,180.426,1445.5,104.104
9.875,180.571,1445.875,104.159
9.25,180.703,1445.75,104.144
9.25,180.852,1445.125,104.16
6.25,180.968,1444.625,104.08
5.75,181.068,1444.125,104.033
7.25,181.173,1445.25,104.048
6.75,181.31,1444.625,104.07
6,181.41,1444.5,104.023
8,181.529,1444.875,104.063
6.625,181.697,1444.625,104.036
7.5,181.778,1444.5,104.057
5.375,181.88,1445.25,103.998
8.5,181.992,1444.75,104.054
8.125,182.111,1444.625,104.053
8.625,182.255,1445.125,104.1
5.5,182.355,1443.625,104.019
6,182.446,1443.125,103.992
7.625,182.56,1445.25,104.03
7.75,182.683,1444.625,104.053
7.625,182.811,1445.5,104.06
7.75,182.948,1444.75,104.082
6.5,183.06,1444.625,104.045
6.625,183.172,1444.5,104.03
7.5,183.279,1444.875,104.04
7.25,183.4,1444.75,104.044
6.5,183.511,1444.5,104.033
7.75,183.639,1444.875,104.07
7.75,183.763,1444.5,104.07
7.75,183.884,1444.5,104.069
6.375,183.998,1444.25,104.042
6.75,184.112,1444,104.039
7.25,184.247,1444.125,104.058
7.75,184.372,1444.875,104.067
7.75,184.498,1444.5,104.068
8.75,184.63,1445,104.093
8.25,184.758,1444.75,104.085
9.125,184.891,1444.25,104.112
9,185.035,1445,104.126
7,185.156,1443,104.067
6.125,185.256,1443,104.02
7.25,185.361,1445.5,104.031
6.5,185.494,1444.75,104.032
6.625,185.612,1444.625,104.028
6.875,185.743,1443.25,104.046
5.5,185.838,1443.625,103.988
7.5,185.94,1444.125,104.009
7,186.057,1444.75,104.014
5.375,186.143,1444.375,103.952
5.25,186.215,1443.125,103.911
7,186.292,1446.125,103.935
6.875,186.429,1445.75,104.003
3.625,186.513,1445.875,103.909
4.375,186.573,1444.5,103.855
